"Abraham Bradley, Jr.",Hannah Smith
Elizabeth of York,Henry VII of England
Elizabeth the Cuman,Stephen V of Hungary
Elize Hele,"A Perambulation of the Antient and Royal Forest of Dartmoor, Samuel Rowe, Joshua Brooking RowePublished 1896"
Elize Hele,"Ecclesiastical Antiquities in Devon, George Oliver, 1840, p.250"
Elize Hele,Alice Eveleigh (born Bray)
Elize Hele,Mary Hender of Botreux Castle
Elke Sommer,(19 November 1964 - 1981) (divorced)
Elke Sommer,Joe Hyams
Elke Sommer,Wolf Walther (29 August 1993 - present)
Ella Koblo Gulama,Bai Koblo Pathbana II
Ella Koblo Gulama,Paramount Chief Bai Koblo Pathbana II
Ella Payne,Curtis Payne
Ella Raines,(1947&ndash;1975) (divorced) 2 children
Ella Raines,Kenneth Trout (1942&ndash;1945)
Ella Raines,Robin Olds
Ella T. Grasso,Thomas Grasso
Elle Macpherson,(1982 - 1989) (divorced)
Elle Macpherson,Gilles Bensimon
Ellen Anderson,Andy Dawkins
Ellen Axson Wilson,Woodrow Wilson
Ellen Bard,Robert G. Stiratelli
Ellen Barkin,(divorced)
Ellen Barkin,(divorced) 2 children
Ellen Barkin,1988
Ellen Barkin,1999
Ellen Barkin,2000
Ellen Barkin,2006
Ellen Barkin,Gabriel Byrne
Ellen Barkin,Ronald O. Perelman
Ellen Bryan Moore,(1) Missing (
Ellen Bryan Moore,(2) D. Haywood Moore
Ellen Bryan Moore,divorce
Ellen Burstyn,"-Neil Burstyn (1964&ndash;1972, divorced)"
Ellen Burstyn,"-Paul Roberts (1958&ndash;1962, divorced)"
Ellen Burstyn,"-William Alexander (1950&ndash;1957, divorced)"
Ellen Cogen Lipton,Marc Lipton
Ellen Corby,Francis Corby (1934-1944)
Ellen DeGeneres,Portia de Rossi
Ellen Dubin,Jay Switzer
Ellen Fairclough,Gordon Fairclough
Ellen Franz,"Georg II, Duke of Saxe-Meiningen"
Ellen G. White,James Springer White
Ellen G. White,James White
Ellen Greene,Christian Klikovits (2003-present)
Ellen Greene,Tibor Hardik (married 1990; divorced)
Ellen Hanley,Ronnie Graham (from 1951 to 1963)
Ellen Harper,(divorced)
Ellen Harper,Bruce Jackson
Ellen Harvelle,"William Anthony Harvelle (husband, deceased)"
Ellen Hopkins,John Hopkins
Ellen J. Kullman,Michael Kullman
Ellen Kushner,Delia Sherman
Ellen L. Weintraub,Bill Dauster (three children)
Ellen Lewis Herndon Arthur,Chester A. Arthur
Ellen Miller (Lassie),John Miller (deceased)
Ellen Pollock,"Leslie Hancock (1929-1944),"
Ellen Pollock,(1945-1971)
Ellen Pollock,James Proudfoot
Ellen Pompeo,Chris Ivery (2007&ndash;present)
Ellen Roberts,Rick
Ellen Sauerbrey,"Wilmer J.E. ""Wil"" Sauerbrey (married 1959)"
Ellen Tauscher,Jim Cieslak (2009-present) William Tauscher (divorced)
Ellen Travolta,(1983-present)
Ellen Travolta,Craig Respol (divorced)
Ellen Travolta,Jack Bannon
Ellen Travolta,May 2010
Ellen Weiss,David Saperstein (rabbi)
Ellen Willis,Stanley Aronowitz
Elli Perkins,Don Perkins
Elliot D. Coleman,Jane Young Coleman
Elliot Hope,Gina Hope
Elliot Hope,Recurring characters in Holby City#Gina Hope
Elliot Morley,Patricia Hunt
Elliot Ngok,Tien Lie (
Elliot Reid,John Dorian
Elliot S. Maggin,"(married, 1983)"
Elliot S. Maggin,''Fanzig'' interview with Maggin
Elliot S. Maggin,(divorced 1988)
Elliot S. Maggin,(re-married 1991)
Elliot S. Maggin,Pamela King
Elliot Stabler,Kathy Stabler (wife)
Elliot Warburton,Matilda Jane Grove
Elliot Werk,Nancy
Elliott Abrams,Rachel Decter
Elliott Gould,Barbra Streisand
Elliott Lewis,Lina Henrietta Youl
Elliott Perry,Christina Westlake
Elliott White Springs,Frances Hubbard Ley Springs
Ellis Ashmead-Bartlett (politician),Frances Christina Walsh
Ellis Baker,Fredric March
Ellis Clarke,Ermyntrude Hagley
Ellis Corman,Lyda Victoria Bell
Ellis Corman,m. 6 December 1930
Ellis R. Dungan,Elaine Dungan
Ellwood Madill,(m. 8 November 1941)
Ellwood Madill,1973
Ellwood Madill,Canadian Parliamentary Guide
Ellwood Madill,Normandin
Ellwood Madill,Pierre G.
Ellwood Madill,Thelma Irene McGowan
Elly Beinhorn,(1909&ndash;1938)
Elly Beinhorn,(his death)
Elly Beinhorn,(m. 1936&ndash;1938)
Elly Beinhorn,Bernd Rosemeyer
Ellyn Setnor Bogdanoff,Steven Bogdanoff
Ellyn Stern,Richard Epcar
Elmer Austin Benson,Francis Lillian Miller
Elmer Borstad,Doreen Schnieder
Elmer Ernest Roper,Goldie C. Bell
Elmer H. Inman,Lavona Codding (August-November 1921)
Elmer Kelton,Anna (
Elmer Kelton,Lipp) Kelton
Elmer L. Andersen,Eleanor A. Johnson
Elmer Litchfield,Margery Ann Evans Litchfield (1931-2005)
Elmer Rice,(1942-1956)
Elmer Rice,Betty Field
Elmer Rice,Hazel Levy (1915-1942)
Elmer Ripley,None
Elmo Smith,Dorothy Smith
Elmo Williams,Lorraine Williams (died 2004)
Eloise Hughes Smith,"Lucian P. Smith (February - April 1912), Robert Williams Daniel (1914-1923), Lewis H. Cort (?-1929), C.S Wright"
Eloise Southby-Halbish,Phil Halbish
Elon Musk,(divorced)
Elon Musk,Justine Musk
Eloy Alfaro,Ana Paredes y Arosemena
Elphège Marier,1949
Elphège Marier,Ernestine Durocher
Elphège Marier,Normandin
Elphège Marier,Pierre G.
Elphège Marier,The Canadian Parliamentary Guide
Elphège Marier,m. 23 June 1913
Elpidio Quirino,Alicia Quirino
Elpidio Quirino,Alicia Syquia
Elsa Beata Bunge,Sven Bunge
Elsa Einstein,1896
Elsa Einstein,1908
Elsa Einstein,1919
Elsa Einstein,1936
Elsa Einstein,Albert Einstein
Elsa Lanchester,(1929&ndash;1962) (his death)
Elsa Lanchester,Charles Laughton
Elsa Martinelli,Count Franco Mancinelli di San Vito (1957-?)
Elsa Martinelli,Willy Rizzo
Elsa Murano,Dr. Peter S. Murano
Elsa Stralia,Adolph Theodor Christensen
Elsa Stralia,William Mountford Moses
Elsie Clews Parsons,Herbert Parsons
Elsie Ferguson,"Thomas Clarke, Jr. (divorced)"
Elsie Ferguson,Frederick C. Hoey
Elsie Ferguson,Frederick Worlock (?-1930) (divorced)
Elsie Ferguson,Victor Augustus Seymour Egan (1934-1956) (his death)
Elsie Hillman,Henry L. Hillman
Elsie Janis,Gilbert Wilson
Elsie MacGill,E. J. (Bill) Soulsby
Elsie Mackay (actress),Lionel Atwill
Elsie Mackay,Dennis Wyndham
Elsie Tanner,Alan Howard (1970-1978)
Elsie Tanner,Arnold Tanner (1939-1962)
Elsie Tanner,Steve Tanner (1967-1968)
Elspet Gray,(1949-present)
Elspet Gray,Brian Rix
Elspeth Gibson,Dominic Lawler
Elspeth Rostow,Walt Whitman Rostow
Elton Gallegly,Janice Shrader
Elton Trowbridge,Anna Irene Kohr Trowbridge
Elton Watkins,Daniela Ruth Sturgis
Elvera Sanchez,"Sammy Davis, Sr."
Elvin Santos,Becky Manzanares de Santos
Elvina Kong,Jackson Ng
Elvira Popescu,Aurel Athanasescu
Elvira Popescu,Ion Manolescu-Strunga
Elwell Stephen Otis,Louise Bowman Otis
Elwood L. Thomas,Susanne Thomas
Elwy Yost,Lila Ragnhild Melby
Elwyn Tinklenberg,Terri Tinklenberg
Ely Calil,Frances Condron
Ely Calil,Hayat Mroue
Ely Calil,Renuka Jain (1989- )
Ely Culbertson,1. Josephine Culbertson
Ely Culbertson,2. Dorothy Renata Bachne
Ely Ould Mohamed Vall,Um Kalthoum Emt Annah
Elyse Knox,(1944&ndash;1990) his death
Elyse Knox,Tom Harmon
Elyssa Davalos,(1982-1988) (divorced) 1 child
Elyssa Davalos,Jeff Dunas
Elzéar Bédard,(m. May 1827)
Elzéar Bédard,Julie-Henriette Marett
Emad Hamdy,(1962-1975 Divorced) 1 Son
Emad Hamdy,(Divorced)
Emad Hamdy,Nadia El-Guindy
Emad Hamdy,Shadia
Emanuel Cleaver,Dianne Cleaver
Emanuel Gregers,Bodil Ipsen
Emanuel Gregers,Ella Olsen
Emanuel Gregers,Kiss Gregers
Emanuel Gregers,Marguerite Viby
Emanuel Gregers,Ruth Saabye
Emanuel Scrope Howe,Ruperta Howe
Emanuel Willis Wilson,Henrietta Cotton Wilson
Emanuela Da Ros,Carlo de Bastiani
Ember Reichgott Junge,Michael
Embeth Davidtz,Jason Sloane
Emer Costello,Joe Costello
Emer Costello,Joe Costello (Irish politician)
Emeric Pressburger,(1947-1971)
Emeric Pressburger,Wendy Orme
Emeric of Hungary,Constance of Aragon
Emeril Lagasse,1978
Emeril Lagasse,1986
Emeril Lagasse,1989
Emeril Lagasse,1996
Emeril Lagasse,2 children
Emeril Lagasse,2000
Emeril Lagasse,Aldeh Lovelace
Emeril Lagasse,Elizabeth Kief
Emeril Lagasse,Tari Hohn
Emerson Harrington,Gertrude Johnson
Emerson Treacy,Ann McKay
Emery Molyneux,Anne
Emetullah Rabia Gülnûş Sultan,Mehmed IV
Emi Wada,Ben Wada (1957-)
Emil Boc,Oana Boc
Emil Constantinescu,Nadia Ileana Constantinescu
Emil Hurezeanu,", 1974)"
Emil Hácha,(1873 - 1938)
Emil Jones,Dr. Lorrie Jones
Emil Kang,Lisa Marie Kang
Emil Rathenau,Mathilde Nachmann
Emil Sitka,Donna Driscoll
Emil Sitka,Edith Weber
Emilia Fox,(2005-2009)
Emilia Fox,Jared Harris
Emilie Brown,Derek Brown
Emilie Schindler,Oskar Schindler
Emilie de Ravin,Josh Janowicz
Emilio Aguinaldo,Hilaria Aguinaldo
Emilio Aguinaldo,Hilaria del Rosario
Emilio Botín,Paloma O'Shea
Emilio Estevez,(1992-1994)
Emilio Estevez,Paula Abdul
Emilio Lussu,Joyce Lussu
Emilio Picariello,Maria Marucci
Emilio Pérez Touriño,Esther Cid
Emilio Rivera,Yadi Valerio
Emilio Scotto,Monica Pino
Emily Anne Eliza Shirreff,None
Emily Bishop,Arnold Swain (1980)
Emily Bishop,Ernest Bishop
Emily Brightwell,Richard James Arguile
Emily Couric,George A. Beller
Emily D. West,Lorenzo de Zavala
Emily Davenport,Thomas Davenport
Emily Davenport,Thomas Davenport (inventor)
Emily Donelson,"Andrew Jackson ""A.J."" Donelson"
Emily Donelson,Andrew Jackson Donelson
Emily Holmes,Michael Ziff (12 November 2004 - present)
Emily Joyce,(2002&ndash;present)
Emily Joyce,Adam Astle
Emily Kirk,(2000)
Emily Kirk,Butch Dingle
Emily Kirk,Paddy Kirk
Emily Kuroda,Alberto Isaac (?-present)
Emily McAsey,Craig
Emily McLaughlin,(1956-1968) 1 Child
Emily McLaughlin,(1969-1969) (his death)
Emily McLaughlin,(?-?) (divorce)
Emily McLaughlin,Jeffrey Hunter
Emily McLaughlin,Kenneth Harlan
Emily McLaughlin,Robert Lansing
Emily McLaughlin,Robert Lansing (actor)
Emily Mortimer,Alessandro Nivola
Emily Nasrallah,Philip Nasrallah
Emily Newell Blair,Harry Wallace Blair
Emily Post,Edwin Post
Emily Quartermaine,(divorced) [2003-2004]
Emily Quartermaine,(divorced) [2004-2005]
Emily Quartermaine,Nikolas Cassadine
Emily Quartermaine,Zander Smith
Emily Rutherfurd,Loch Gallagher (2003 - present) 1 child
Emily Sandberg,(2005 - present)
Emily Sandberg,Gary Gold
Emily Stewart,"Harold ""Hal"" Munson, Jr."
Emily Stewart,(Annulled; 2008
Emily Stewart,(divorced)
Emily Stewart,(divorced; 2006)
Emily Stewart,(divorced; deceased)
Emily Stewart,<small>(married; 2009-Present)
Emily Stewart,Casey Hughes
Emily Stewart,Hal Munson
Emily Stewart,Holden Snyder
Emily Stewart,Paul Ryan
Emily Stewart,Paul Ryan (ATWT)
Emily Symons,Legal separation
Emily Symons,Lorenzo Smith
Emily Symons,Nick Lipscombe
Emily Symons,separated
Emily Taft Douglas,"(m. 1931, died 1976)"
Emily Taft Douglas,Paul H. Douglas
Emily Taft Douglas,Senator
Emily Taft Douglas,US Senate
Emily W. Sunstein,"Leon Sunstein, Jr."
Emily Warfield,Scott Wiese
Emina Cunmulaj,Bekim Lulanji
Emir Kusturica,Maja Kusturica
Emma Caulfield,Cornelius Grobbelaar (2006-present) (filed for divorce)
Emma Churchill,Charles Dawson
Emma Heming,(2009-present)
Emma Heming,Bruce Willis
Emma Lehmer,Derrick Henry Lehmer
Emma Rabbe,(1998-present)
Emma Rabbe,Daniel Alvarado
Emma Thompson,Greg Wise
Emma Thompson,Kenneth Branagh
Emma Vilarasau,Jordi Bosch
Emma Wiklund,(2003&ndash;present) 2 children
Emma Wiklund,Hans Wiklund
Emma Willis,(2008-present)
Emma Willis,Matt Willis
Emma de Caunes,(2001&ndash;present) (separated) 1 child
Emma de Caunes,Sinclair
Emma de Caunes,Sinclair (singer)
Emma of Italy,Lothair
Emma of Italy,Lothair of France
Emma of Waldeck and Pyrmont,William III of the Netherlands
Emmanuel Itier,Roxanna Bina (2002-present) 1 child
Emmanuel Pelaez,Edith Fabella
Emmanuel Servais,Justine Elise Boch
Emmanuel Théodose de La Tour d'Auvergne (1668–1730),Anne Marie Christiane de Simiane
Emmanuelle Béart,1993
Emmanuelle Béart,1998
Emmanuelle Béart,2008
Emmanuelle Béart,Daniel Auteuil
Emmanuelle Devos,Gilles Cohen
Emmanuelle Seigner,(1989&ndash;present)
Emmanuelle Seigner,Roman Polanski
Emmet Hawksworth,Divorced
Emmet O'Neal,Lizzie Kirkman
Emmet Stagg,Mary Morris
Emmett Forrest Branch,Katherine Bain
Emmett Forrest Branch,NGA Bio
Emmett Hanger,Sharon
Emmett Vogan,Edythe
Emory Parnell,Effie Laird
Emory Williams,Janet Williams
Emperor Ai of Han,Empress Fu
Emperor Ai of Han,Empress Fu (Ai)
Emperor An of Jin,Empress Anxi
Emperor An of Jin,Empress Wang Shen'ai
Emperor Gaozong of Tang,Empress Wang
Emperor Gaozong of Tang,Empress Wang (Gaozong)
Emperor Gaozong of Tang,Empress Wu
Emperor Gaozong of Tang,Wu Zetian
Emperor Guangwu of Han,Consort Xu
Emperor Guangwu of Han,Empress Guo Shengtong
Emperor Guangwu of Han,Empress Yin Lihua
Emperor Guangwu of Han,Guo Shengtong
Emperor Guangwu of Han,Yin Lihua
Emperor Hui of Han,Empress Zhang Yan
Emperor Hui of Han,Zhang Yan
Emperor Hui of Jin,Empress Jia
Emperor Hui of Jin,Empress Jia Nanfeng
Emperor Hui of Jin,Empress Yang
Emperor Hui of Jin,Empress Yang Xianrong
Emperor Huizong of Song,Empress Mingda
Emperor Huizong of Song,Empress Mingzhe
Emperor Huizong of Song,Empress Xiangong
Emperor Huizong of Song,Empress Xianren
Emperor Huizong of Song,Empress Xiansui
Emperor Jing of Han,Empress Bo
Emperor Jing of Han,Empress Wang Zhi
Emperor Lizong of Song,Empress Tse
Emperor Ningzong of Song,Empress Gongshen
Emperor Ningzong of Song,Empress Gongsui
Emperor Qinzong of Song,Empress Renhuai
Emperor Ruizong of Tang,Empress Liu
Emperor Ruizong of Tang,Empress Liu (Ruizong)
Emperor Shenzong of Song,Empress Yincheng
Emperor Shenzong of Song,Empress Yinshen
Emperor Shenzong of Song,Empress Yinzhe
Emperor Shizong of Jin,Empress Zhaode
Emperor Taishō,Empress Teimei
Emperor Taizu of Song,Empress He (
Emperor Taizu of Song,Empress Song (
Emperor Taizu of Song,Empress Wang (
Emperor Wen of Han,Empress Dou
Emperor Wen of Liu Song,Empress Yuan Qigui
Emperor Wen of Liu Song,Yuan Qigui
Emperor Wen of Sui,"Dugu Qieluo, Empress Wen Xian"
Emperor Wen of Sui,Empress Dugu Qieluo
Emperor Wu of Han,Empress Chen Jiao
Emperor Wu of Han,Empress Wei Zifu
Emperor Wu of Liang,Empress De
Emperor Xian of Han,Empress Cao Jie
Emperor Xian of Han,Empress Fu Shou
Emperor Xiaojing of Eastern Wei,Empress Gao
Emperor Xiaojing of Eastern Wei,Empress Gao (Xiaojing)
Emperor Xiaowen of Northern Wei,Empress Feng Qing
Emperor Xiaowen of Northern Wei,Empress Feng Run
Emperor Xiaowen of Northern Wei,Empress Wenzhao
Emperor Xiaowen of Northern Wei,Empress Xiaowen Jin
Emperor Xiaowen of Northern Wei,Feng Qing
Emperor Xiaowen of Northern Wei,Feng Run
Emperor Xiaozong of Song,Empress Chenggong
Emperor Xiaozong of Song,Empress Chengmu
Emperor Xiaozong of Song,Empress Chengsui
Emperor Xuanzong of Tang,Consort Wu (Xuanzong)
Emperor Xuanzong of Tang,Empress Wang
Emperor Xuanzong of Tang,Empress Wang (Xuanzong)
Emperor Xuanzong of Tang,Empress Yuanxian
Emperor Xuanzong of Tang,Empress Zhenshun
Emperor Zhongzong of Tang,Empress Wei
Emperor Zhongzong of Tang,Empress Wei (Zhongzong)
Emperor Zhongzong of Tang,Empress Zhao
Empress Dou (Wen),Emperor Wen of Han
Empress Dowager Bian,Cao Cao
Empress Dowager Ci'an,Xianfeng Emperor
Empress Dowager Cixi,Xianfeng Emperor
Empress Dowager Guo (Muzong),Emperor Xianzong
Empress Dowager Guo (Muzong),Emperor Xianzong of Tang
Empress Dowager Hu,"Yuan Ke, Emperor Xuanwu"
Empress Dowager Hu,Emperor Xuanwu of Northern Wei
Empress Dowager Longyu,Guangxu Emperor
Empress Dowager Xiaozhuang,Emperor Taizong of Qing
Empress Dowager Xiaozhuang,Huang Taiji
Empress Dowager Zheng (Xuānzong),Emperor Xianzong
Empress Dowager Zheng (Xuānzong),Emperor Xianzong of Tang
Empress Dowager Zheng (Xuānzong),Li Qi
Empress Dowager Zheng (Xuānzong),Li Qi (Tang Dynasty)
Empress Feng (Wencheng),Emperor Wencheng of Northern Wei
Empress Guo Nüwang,"Cao Pi, Emperor Wen of Wei"
Empress Guo Nüwang,Cao Pi
Empress Lü Zhi,Emperor Gaozu of Han
Empress Matilda,"Geoffrey V, Count of Anjou"
Empress Matilda,"Henry V, Holy Roman Emperor"
Empress Matilda,m. 1114; dec. 1125
Empress Matilda,m. 1128; dec. 1151
Empress Michiko,Emperor Akihito
Empress Myeongseong,Gojong of Korea
Empress Shōken,Emperor Meiji
Empress Sunjeong of the Korean Empire,Sunjong of Korea
Empress Wang Zhengjun,Emperor Yuan of Han
Empress Wei (Zhongzong),Emperor Zhongzong of Tang
Empress Wei Zifu,Emperor Wu of Han
Empress Xiao Ci,Emperor Taizu of Qing
Empress Xiao Ci,Nurhaci
Empress Xiao De,Xianfeng Emperor
Empress Xiao Jing Chen,Daoguang Emperor
Empress Xiao-Zhe,Tongzhi Emperor
Empress Xu,Yongle Emperor
Empress Yin Lihua,Emperor Guangwu of Han
Empress Zhang Yan,Emperor Hui of Han
Empress Zhangsun,Emperor Taizong of Tang
Empress Zhao Feiyan,Emperor Cheng of Han
Emy Kat,Natalya Kasyanova
Ena Sharples,Alfred Sharples
Ena von Baer,Eduardo
Enda Kenny,Fionnuala O'Kelly
Endang Rahayu Sedyaningsih,"Dr. Reanny Mamahit, SpOG, MM"
Endicott Peabody (educator),Fannie Peabody
Endicott Peabody,", married June 24, 1944"
Endicott Peabody,"Barbara ""Toni"" Welch Gibbons"
Endon Mahmood,Abdullah Ahmad Badawi
Endon Mahmood,Tun Abdullah Ahmad Badawi
Engr. Mosharraf Hossain,Ayesha Sultana
Eni Faleomavaega,Hinanui Bambridge Cave
Enid Bennett,Fred Niblo
Enid Bennett,Sidney Franklin
Enid Bennett,Sidney Franklin (director)
Enid Blyton,Hugh Alexander Pollock
Enid Blyton,Kenneth Fraser Darrell Waters
Enid Greene,Joe Waldholtz (divorced)
Enid Lyons,Joseph Lyons
Ennio Flaiano,Rosetta Rota
Ennis Del Mar,Alma Beers
Enoch L. Johnson,Florence Osbeck (1941-1968)
Enoch L. Johnson,Mabel Jeffries (1906-1912)
Enolia McMillan,"Betha D. McMillan, Sr."
Enos T. Throop,Evelina J. Vredenburgh
Enrichetta d'Este,"Antonio Farnese, Duke of Parma"
Enrichetta d'Este,Landgrave Leopold of Hesse-Darmstadt
Enrico Colantoni,(1997 - 2004)
Enrico Colantoni,Nancy Snyder
Enrico De Nicola,Bachelor
Enrico Fermi,Laura Fermi
Enrico Gennari,Unmarried
Enrico Mizzi,Bice Vassallo
Enrique Bolaños,(deceased)
Enrique Bolaños,Lila Abaunza
Enrique Castillo,Belarmina Hernandez
Enrique Favez,A French soldier (name unknown)
Enrique Fernando,Emma Quisumbing-Fernando
Enrique González Martínez,Luisa Rojo
Enrique Granados,Amparo Gal
Enrique Guzmán,(1967-1976)
Enrique Guzmán,Silvia Pinal
Enrique Laguerre,Luz V. Romero Garcia
Enrique Ponce,Paloma Cuevas
Enver Hoxha,Nexhmije Hoxha
Enyinnaya Abaribe,Florence Nwamaka (nee Morris)
Enzo Cilenti,Sienna Guillory
Eoghan Harris,(div.)
Eoghan Harris,Anne Harris
Eoghan Harris,Anne Harris (journalist)
Eoghan Harris,Gwendoline Halley
Epaphroditus Champion,Lucretia Hubbard
Epaphroditus Ransom,Almira Cadwell Ransom
Ephraim F. Morgan,Alma Bennett Morgan
Ephraim H. Foster,Jane M. Foster
Ephraim Katzir,Nina Gottlieb
Ephraim Katzir,Nina Katzir
Ephraim Kishon,(1946-1958) (divorced) 1 child
Ephraim Kishon,(2003-2005)
Ephraim Kishon,Eva Klamer
Ephraim Kishon,Lisa Witasek
Ephraim Kishon,Sara Lipovitz
Ephraim Shay,Jane Henderson
Eran Preis,Andrea Garson Preis
Erasmus D. Shattuck,Sarah A. Armstrong
Erast Fandorin,"Yelizaveta ""Lizanka"" von Evert-Kolokoltseva (1876), Yelizaveta Anatolievna (last name unknown, possibly married ca. 1919)"
Erastus C. Knight,Mary Elizabeth Cowles
Erastus Corning 2nd,Betty Corning
Erastus Wells,Isabella Bowman Henry Wells
Eric Alterman,divorced
Eric Asimov,"(since 2001); Editor, New York Times Bestseller List"
Eric Asimov,Deborah Hofmann
Eric Bana,Rebecca Gleeson
Eric Barker,Pearl Hackney
Eric Bloodaxe,"Gunnhild, Mother of Kings"
Eric Blore,(1917-1919) (her death)
Eric Blore,(1926-?) 1 child
Eric Blore,Clara Blore
Eric Blore,Violet Winter
Eric Bogosian,Jo Anne Bonney (1980-present)
Eric Bowden,Reinetta May Murphy
Eric Braeden,Dale Russell Gudegast (1966-present); 1 child
Eric Brown (actor),Janine Brown
Eric Bruskotter,(???? - present)
Eric Bruskotter,Tami-Adrian George
Eric Burlison,Angie Burlison
Eric Campbell (actor),Fanny Gertrude Robotham (1901-1917)
Eric Campbell (actor),Pearl Gillman (1917)
Eric Campbell Geddes,Gwendolen Stokes
Eric Cantor,Diana Fine Cantor
Eric Close,Keri Close (1995-Present)
Eric D. Coleman,Pamela Coleman
Eric Dane,(2004-present)
Eric Dane,Rebecca Gayheart
Eric Edmeades,Divorced
Eric Eisnaugle,Carrie Eisnaugle
Eric Everard,Muriel
Eric Fellner,? - ?
Eric Fellner,Gaby Dellal
Eric Fletcher Waters,Mary
Eric Forrester,"(divorced, 1950s-1990, 1999-2005, 2006-2008)"
Eric Forrester,"(divorced, 1991-1993, 2005-2006)"
Eric Forrester,"(divorced, 1993-1995)"
Eric Forrester,"(divorced, 2008-2010)"
Eric Forrester,Brooke Logan
Eric Forrester,Donna Logan
Eric Forrester,Sheila Carter
Eric Forrester,Stephanie Douglas
Eric Forth,Carroll Forth
